iter	Passed	Remaining
0	2	513
1	4	451
2	6	452
3	9	458
4	12	472
5	15	486
6	17	483
7	19	476
8	22	478
9	25	488
10	28	490
11	31	495
12	34	490
13	36	486
14	39	481
15	42	484
16	45	484
17	47	481
18	50	477
19	52	474
20	55	471
21	57	468
22	60	465
23	63	463
24	65	461
25	68	460
26	71	456
27	73	453
28	76	451
29	78	447
30	81	444
31	83	440
32	86	436
33	88	434
34	91	433
35	94	431
36	97	428
37	100	426
38	102	424
39	105	422
40	108	420
41	111	418
42	113	416
43	116	413
44	118	409
45	121	406
46	124	404
47	127	402
48	129	399
49	131	395
50	134	392
51	136	389
52	139	386
53	141	383
54	144	380
55	147	378
56	149	375
57	152	372
58	154	368
59	156	365
60	159	362
61	161	360
62	164	357
63	166	354
64	169	351
65	171	348
66	174	345
67	176	343
68	179	340
69	182	338
70	184	336
71	187	334
72	190	331
73	193	328
74	195	326
75	198	323
76	201	321
77	203	318
78	206	315
79	208	312
80	210	309
81	213	306
82	215	303
83	217	301
84	220	298
85	222	295
86	225	292
87	227	289
88	229	286
89	232	283
90	234	280
91	237	278
92	239	275
93	242	273
94	245	270
95	247	268
96	250	265
97	252	263
98	255	260
99	258	258
100	260	255
101	262	252
102	265	249
103	267	246
104	270	244
105	272	241
106	274	238
107	277	236
108	279	233
109	282	230
110	284	227
111	286	225
112	289	222
113	291	220
114	294	217
115	296	214
116	298	211
117	301	209
118	303	206
119	305	203
120	308	201
121	310	198
122	312	195
123	315	193
124	317	190
125	320	187
126	322	185
127	325	182
128	327	180
129	330	177
130	333	175
131	335	172
132	338	170
133	340	167
134	343	165
135	345	162
136	347	159
137	350	157
138	352	154
139	355	152
140	357	149
141	360	147
142	362	144
143	365	142
144	368	139
145	370	137
146	373	134
147	375	131
148	377	129
149	380	126
150	382	124
151	385	121
152	387	119
153	390	116
154	392	114
155	395	111
156	397	108
157	399	106
158	402	103
159	404	101
160	406	98
161	409	95
162	411	93
163	413	90
164	416	88
165	419	85
166	421	83
167	424	80
168	426	78
169	429	75
170	431	73
171	434	70
172	437	68
173	439	65
174	442	63
175	445	60
176	448	58
177	450	55
178	453	53
179	455	50
180	458	48
181	460	45
182	462	43
183	465	40
184	467	37
185	470	35
186	472	32
187	475	30
188	477	27
189	480	25
190	482	22
191	485	20
192	487	17
193	489	15
194	492	12
195	494	10
196	497	7
197	499	5
198	502	2
199	504	0
